timestamps,X,Y,Z,Marker0
1749427891.576,0.126,-0.023,0.981,0
1749427891.576,0.126,-0.023,0.981,0
1749427891.576,0.128,-0.020,0.981,0
1749427891.576,0.126,-0.018,0.982,0
1749427891.609,0.128,-0.018,0.981,0
1749427891.609,0.126,-0.017,0.982,0
1749427891.609,0.123,-0.019,0.977,0
1749427891.664,0.123,-0.016,0.975,0
1749427891.664,0.124,-0.019,0.973,0
1749427891.664,0.123,-0.021,0.971,0
1749427891.723,0.122,-0.020,0.971,0
1749427891.723,0.120,-0.022,0.973,0
1749427891.723,0.122,-0.021,0.968,0
1749427891.785,0.127,-0.022,0.969,0
1749427891.785,0.128,-0.022,0.975,0
1749427891.785,0.126,-0.020,0.984,0
1749427891.846,0.130,-0.021,0.981,0
1749427891.846,0.133,-0.020,0.979,0
1749427891.846,0.127,-0.021,0.980,0
1749427891.892,0.130,-0.019,0.983,0
1749427891.892,0.128,-0.019,0.981,0
1749427891.892,0.127,-0.021,0.981,0
1749427891.949,0.130,-0.023,0.977,0
1749427891.949,0.129,-0.023,0.972,0
1749427891.949,0.133,-0.019,0.966,0
1749427892.009,0.125,-0.019,0.975,0
1749427892.009,0.128,-0.030,0.978,0
1749427892.009,0.126,-0.021,0.979,0
1749427892.069,0.131,-0.016,0.980,0
1749427892.069,0.136,-0.012,0.981,0
1749427892.069,0.136,-0.011,0.983,0
1749427892.117,0.138,-0.014,0.982,0
1749427892.117,0.136,-0.014,0.975,0
1749427892.117,0.136,-0.016,0.972,0
1749427892.175,0.130,-0.025,0.972,0
1749427892.175,0.132,-0.025,0.976,0
1749427892.175,0.135,-0.026,0.979,0
1749427892.234,0.132,-0.027,0.979,0
1749427892.234,0.130,-0.022,0.978,0
1749427892.234,0.131,-0.026,0.980,0
1749427892.294,0.130,-0.031,0.978,0
1749427892.294,0.126,-0.031,0.969,0
1749427892.294,0.126,-0.019,0.975,0
1749427892.339,0.126,-0.012,0.976,0
1749427892.339,0.127,-0.013,0.977,0
1749427892.339,0.122,-0.010,0.976,0
1749427892.401,0.122,-0.017,0.973,0
1749427892.401,0.121,-0.023,0.974,0
1749427892.401,0.124,-0.026,0.973,0
1749427892.459,0.127,-0.023,0.974,0
1749427892.459,0.127,-0.023,0.977,0
1749427892.459,0.130,-0.027,0.983,0
1749427892.519,0.127,-0.022,0.984,0
1749427892.519,0.129,-0.021,0.981,0
1749427892.519,0.126,-0.021,0.977,0
1749427892.565,0.127,-0.018,0.974,0
1749427892.565,0.122,-0.023,0.976,0
1749427892.565,0.121,-0.025,0.976,0
1749427892.624,0.121,-0.026,0.973,0
1749427892.624,0.123,-0.025,0.968,0
1749427892.624,0.121,-0.027,0.967,0
1749427892.701,0.122,-0.028,0.976,0
1749427892.701,0.124,-0.025,0.979,0
1749427892.701,0.124,-0.023,0.981,0
1749427892.734,0.122,-0.019,0.979,0
1749427892.734,0.126,-0.018,0.976,0
1749427892.734,0.125,-0.024,0.967,0
1749427892.789,0.124,-0.031,0.977,0
1749427892.789,0.126,-0.033,0.978,0
1749427892.789,0.127,-0.028,0.980,0
1749427892.849,0.129,-0.017,0.980,0
1749427892.849,0.133,-0.018,0.978,0
1749427892.849,0.129,-0.022,0.981,0
1749427892.909,0.131,-0.019,0.980,0
1749427892.909,0.131,-0.017,0.971,0
1749427892.909,0.127,-0.018,0.969,0
1749427892.970,0.128,-0.017,0.969,0
1749427892.970,0.131,-0.020,0.975,0
1749427892.970,0.129,-0.023,0.983,0
1749427893.019,0.133,-0.021,0.986,0
1749427893.019,0.134,-0.020,0.990,0
