timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1749428435.086,-65.430,-33.203,-90.332,-65.430,0.000,0
1749428435.090,-51.270,-37.109,-76.172,-52.734,0.000,0
1749428435.094,-43.457,-30.273,-75.195,-36.133,0.000,0
1749428435.098,-57.129,-33.203,-87.891,-44.434,0.000,0
1749428435.102,-61.035,-36.621,-87.891,-49.805,0.000,0
1749428435.106,-51.758,-39.062,-72.266,-44.922,0.000,0
1749428435.109,-44.434,-48.828,-71.777,-48.828,0.000,0
1749428435.113,-43.457,-46.387,-77.637,-45.898,0.000,0
1749428435.117,-43.945,-43.945,-66.406,-42.480,0.000,0
1749428435.121,-43.457,-43.945,-59.570,-32.227,0.000,0
1749428435.125,-64.453,-44.922,-85.938,-32.227,0.000,0
1749428435.129,-70.312,-41.992,-106.934,-46.875,0.000,0
1749428435.133,-59.082,-37.598,-99.609,-46.875,0.000,0
1749428435.137,-50.781,-37.598,-93.750,-44.922,0.000,0
1749428435.141,-52.246,-37.598,-92.285,-42.480,0.000,0
1749428435.145,-63.477,-38.574,-91.797,-52.246,0.000,0
1749428435.149,-58.105,-35.645,-72.754,-46.387,0.000,0
1749428435.153,-44.922,-36.621,-55.176,-31.738,0.000,0
1749428435.156,-61.523,-40.527,-75.684,-55.664,0.000,0
1749428435.160,-77.148,-42.480,-91.309,-77.637,0.000,0
1749428435.164,-56.641,-41.016,-74.219,-62.988,0.000,0
1749428435.168,-49.316,-30.762,-60.059,-51.270,0.000,0
1749428435.172,-77.148,-30.762,-68.848,-66.406,0.000,0
1749428435.176,-84.473,-36.133,-67.871,-72.754,0.000,0
1749428435.180,-62.500,-34.668,-58.594,-61.035,0.000,0
1749428435.184,-60.059,-35.156,-62.988,-54.688,0.000,0
1749428435.188,-64.453,-41.992,-65.918,-62.012,0.000,0
1749428435.192,-57.617,-58.594,-58.105,-68.359,0.000,0
1749428435.196,-74.219,-69.824,-54.199,-64.453,0.000,0
1749428435.199,-87.891,-56.152,-59.082,-64.941,0.000,0
1749428435.203,-81.055,-40.039,-56.641,-64.453,0.000,0
1749428435.207,-77.637,-36.621,-48.828,-60.547,0.000,0
1749428435.211,-76.172,-40.039,-56.641,-61.523,0.000,0
1749428435.215,-70.801,-43.945,-59.082,-61.035,0.000,0
1749428435.219,-54.199,-55.664,-52.246,-54.199,0.000,0
1749428435.223,-51.758,-53.711,-45.410,-43.945,0.000,0
1749428435.227,-69.824,-47.363,-41.504,-45.410,0.000,0
1749428435.231,-61.035,-44.434,-35.645,-46.875,0.000,0
1749428435.235,-54.688,-43.457,-33.203,-44.434,0.000,0
1749428435.239,-55.664,-50.293,-40.039,-44.922,0.000,0
1749428435.242,-41.016,-41.992,-32.715,-41.992,0.000,0
