timestamps,X,Y,Z,Marker0
1749427043.753,-3.679,2.191,-3.933,0
1749427043.753,-3.679,2.191,-3.933,0
1749427043.753,-3.065,1.989,-4.067,0
1749427043.753,-3.073,1.892,-4.127,0
1749427043.808,-3.230,0.000,-4.419,0
1749427043.808,-2.856,1.705,-4.531,0
1749427043.808,-2.894,1.817,-3.933,0
1749427043.868,-3.036,1.630,-3.290,0
1749427043.868,-2.751,1.413,-3.140,0
1749427043.868,-3.051,1.264,-3.148,0
1749427043.914,-3.252,1.166,-3.604,0
1749427043.914,-3.409,1.413,-4.067,0
1749427043.914,-3.791,1.293,-4.284,0
1749427043.974,-3.738,1.264,-4.494,0
1749427043.974,-3.529,1.323,-4.606,0
1749427043.974,-3.432,1.630,-4.621,0
1749427044.045,-3.275,1.525,-5.181,0
1749427044.045,-3.170,1.465,-5.338,0
1749427044.045,-2.834,1.219,-4.867,0
1749427044.093,-3.051,0.927,-4.127,0
1749427044.093,-2.983,0.493,-3.193,0
1749427044.093,-3.118,0.568,-2.183,0
1749427044.139,-2.991,0.815,-1.951,0
1749427044.139,-3.133,0.837,-2.071,0
1749427044.139,-3.080,1.376,-2.879,0
1749427044.199,-2.894,1.480,-3.581,0
1749427044.199,-2.991,1.832,-3.851,0
1749427044.199,-2.849,1.660,-4.426,0
1749427044.259,-2.632,1.600,-4.748,0
1749427044.259,-2.983,1.323,-4.531,0
1749427044.259,-3.312,1.518,-4.120,0
1749427044.309,-3.125,1.570,-3.686,0
1749427044.309,-3.282,1.622,-3.013,0
1749427044.309,-2.834,1.376,-2.699,0
1749427044.363,-2.886,0.987,-3.163,0
1749427044.363,-2.751,1.032,-3.626,0
1749427044.363,-2.849,1.024,-3.604,0
1749427044.423,-2.594,1.136,-3.417,0
1749427044.423,-3.073,1.166,-3.918,0
1749427044.423,-3.409,1.122,-4.568,0
1749427044.484,-3.507,1.974,-4.486,0
1749427044.484,-3.185,2.385,-4.441,0
1749427044.484,-2.849,2.049,-4.568,0
1749427044.544,-3.073,1.839,-4.307,0
1749427044.544,-3.828,1.189,-4.254,0
1749427044.544,-4.015,1.024,-4.456,0
1749427044.593,-4.135,0.942,-4.127,0
1749427044.593,-4.060,1.084,-3.828,0
1749427044.593,-3.694,1.159,-3.477,0
1749427044.650,-3.738,1.151,-3.738,0
1749427044.650,-3.043,1.406,-4.127,0
1749427044.650,-2.385,1.361,-4.075,0
1749427044.709,-1.989,1.017,-3.843,0
1749427044.709,-2.243,1.069,-3.380,0
1749427044.709,-2.378,1.226,-2.991,0
1749427044.769,-2.587,1.234,-2.789,0
1749427044.769,-2.550,1.682,-2.490,0
1749427044.769,-2.766,1.697,-2.505,0
1749427044.814,-3.185,0.000,-2.557,0
1749427044.814,-3.551,1.996,-2.751,0
1749427044.814,-4.030,1.922,-3.522,0
1749427044.891,-3.656,2.206,-3.880,0
1749427044.891,-3.447,2.041,-4.322,0
1749427044.891,-3.170,1.839,-4.546,0
1749427044.934,-2.938,1.398,-4.598,0
1749427044.934,-2.587,1.510,-3.948,0
1749427044.934,-2.609,1.600,-4.008,0
1749427044.994,-2.609,1.585,-3.723,0
1749427044.994,-3.193,1.174,-3.365,0
1749427044.994,-2.879,0.912,-3.372,0
1749427045.039,-3.282,0.875,-3.215,0
1749427045.039,-3.043,1.002,-3.559,0
1749427045.039,-3.110,1.279,-3.566,0
1749427045.099,-3.178,1.256,-3.768,0
