timestamps,PPG1,PPG2,PPG3,Marker0
1749427096.275,453703.000,287802.000,2464.000,0
1749427096.291,453812.000,287858.000,2494.000,0
1749427096.306,453888.000,287871.000,2500.000,0
1749427096.322,453848.000,287830.000,2475.000,0
1749427096.338,453788.000,287913.000,2568.000,0
1749427096.353,453719.000,287894.000,2461.000,0
1749427096.369,453702.000,287916.000,2481.000,0
1749427096.385,453727.000,287877.000,2522.000,0
1749427096.400,453641.000,287875.000,2475.000,0
1749427096.416,453715.000,287925.000,2422.000,0
1749427096.431,453664.000,287939.000,2478.000,0
1749427096.447,453851.000,287929.000,2478.000,0
1749427096.463,453740.000,287949.000,2457.000,0
1749427096.478,453850.000,287987.000,2448.000,0
1749427096.494,453820.000,287992.000,2466.000,0
1749427096.510,453745.000,287984.000,2500.000,0
1749427096.525,453800.000,287978.000,2473.000,0
1749427096.541,453820.000,287993.000,2510.000,0
1749427096.556,453841.000,288013.000,2461.000,0
1749427096.572,453876.000,288039.000,2481.000,0
1749427096.588,453852.000,288059.000,2531.000,0
1749427096.603,453935.000,288094.000,2477.000,0
1749427096.619,453934.000,288125.000,2542.000,0
1749427096.635,453864.000,288077.000,2478.000,0
1749427096.650,453909.000,288043.000,2480.000,0
1749427096.666,453932.000,288027.000,2431.000,0
1749427096.681,453769.000,287929.000,2477.000,0
1749427096.697,453820.000,287805.000,2443.000,0
1749427096.713,453840.000,287724.000,2451.000,0
1749427096.728,453742.000,287731.000,2477.000,0
1749427096.744,453635.000,287659.000,2457.000,0
1749427096.760,453706.000,287665.000,2450.000,0
1749427096.775,453563.000,287652.000,2477.000,0
1749427096.791,453534.000,287616.000,2500.000,0
1749427096.806,453577.000,287621.000,2467.000,0
1749427096.822,453611.000,287667.000,2520.000,0
1749427096.838,453526.000,287647.000,2478.000,0
1749427096.853,453548.000,287641.000,2477.000,0
1749427096.869,453571.000,287627.000,2555.000,0
1749427096.885,453596.000,287645.000,2492.000,0
1749427096.900,453581.000,287698.000,2448.000,0
1749427096.916,453605.000,287696.000,2477.000,0
1749427096.931,453649.000,287675.000,2483.000,0
1749427096.947,453654.000,287661.000,2399.000,0
1749427096.963,453669.000,287625.000,2465.000,0
1749427096.978,453585.000,287561.000,2479.000,0
1749427096.994,453523.000,287532.000,2470.000,0
1749427097.010,453629.000,287544.000,2480.000,0
1749427097.025,453498.000,287486.000,2517.000,0
1749427097.041,453557.000,287478.000,2476.000,0
1749427097.056,453430.000,287464.000,2479.000,0
1749427097.072,453399.000,287378.000,2530.000,0
1749427097.088,453321.000,287376.000,2479.000,0
1749427097.103,453339.000,287324.000,2512.000,0
1749427097.119,453382.000,287327.000,2481.000,0
1749427097.135,453304.000,287346.000,2475.000,0
1749427097.150,453268.000,287330.000,2433.000,0
1749427097.166,453160.000,287250.000,2478.000,0
1749427097.181,453270.000,287319.000,2475.000,0
1749427097.197,453118.000,287336.000,2421.000,0
1749427097.213,453286.000,287326.000,2452.000,0
1749427097.228,453292.000,287336.000,2413.000,0
1749427097.244,453340.000,287315.000,2485.000,0
1749427097.260,453272.000,287325.000,2476.000,0
1749427097.275,453248.000,287339.000,2486.000,0
1749427097.291,453408.000,287328.000,2481.000,0
1749427097.306,453351.000,287325.000,2484.000,0
1749427097.322,453293.000,287395.000,2508.000,0
1749427097.338,453284.000,287441.000,2477.000,0
1749427097.353,453368.000,287450.000,2573.000,0
1749427097.369,453149.000,287528.000,2477.000,0
1749427097.385,453260.000,287520.000,2465.000,0
1749427097.400,453234.000,287558.000,2474.000,0
1749427097.416,453180.000,287600.000,2478.000,0
1749427097.431,453131.000,287579.000,2413.000,0
1749427097.447,453158.000,287480.000,2454.000,0
1749427097.463,453059.000,287440.000,2477.000,0
1749427097.478,452927.000,287372.000,2387.000,0
1749427097.494,452925.000,287281.000,2476.000,0
1749427097.510,452823.000,287258.000,2492.000,0
1749427097.525,452779.000,287235.000,2452.000,0
1749427097.541,452744.000,287234.000,2475.000,0
1749427097.556,452809.000,287301.000,2568.000,0
1749427097.572,452769.000,287271.000,2445.000,0
1749427097.588,452758.000,287259.000,2474.000,0
1749427097.603,452738.000,287286.000,2556.000,0
1749427097.619,452710.000,287290.000,2478.000,0
1749427097.635,452675.000,287322.000,2414.000,0
1749427097.650,452661.000,287330.000,2485.000,0
1749427097.666,452794.000,287342.000,2463.000,0
1749427097.681,452834.000,287364.000,2426.000,0
1749427097.697,452894.000,287426.000,2476.000,0
1749427097.713,452812.000,287375.000,2479.000,0
1749427097.728,452840.000,287403.000,2478.000,0
1749427097.744,452881.000,287411.000,2477.000,0
1749427097.760,452881.000,287378.000,2479.000,0
1749427097.775,452827.000,287362.000,2475.000,0
1749427097.791,452785.000,287381.000,2478.000,0
1749427097.806,452904.000,287398.000,2531.000,0
1749427097.822,452890.000,287397.000,2498.000,0
1749427097.838,452857.000,287465.000,2532.000,0
1749427097.853,452855.000,287468.000,2460.000,0
1749427097.869,452917.000,287465.000,2448.000,0
1749427097.885,452990.000,287520.000,2423.000,0
1749427097.900,452857.000,287560.000,2478.000,0
1749427097.916,453014.000,287517.000,2469.000,0
1749427097.931,453021.000,287585.000,2414.000,0
1749427097.947,453007.000,287574.000,2470.000,0
1749427097.963,452924.000,287584.000,2409.000,0
1749427097.978,452998.000,287586.000,2475.000,0
1749427097.994,452950.000,287638.000,2475.000,0
1749427098.010,452895.000,287623.000,2476.000,0
1749427098.025,452965.000,287669.000,2476.000,0
1749427098.041,452983.000,287662.000,2518.000,0
1749427098.056,452902.000,287637.000,2478.000,0
1749427098.072,452922.000,287682.000,2476.000,0
1749427098.088,452900.000,287645.000,2551.000,0
1749427098.103,452776.000,287634.000,2476.000,0
1749427098.119,452837.000,287657.000,2472.000,0
1749427098.135,452810.000,287699.000,2418.000,0
1749427098.150,452863.000,287711.000,2476.000,0
1749427098.166,452829.000,287792.000,2461.000,0
1749427098.181,452863.000,287814.000,2473.000,0
1749427098.197,452825.000,287794.000,2474.000,0
1749427098.213,452735.000,287694.000,2398.000,0
1749427098.228,452746.000,287664.000,2475.000,0
1749427098.244,452620.000,287458.000,2461.000,0
1749427098.260,452595.000,287486.000,2501.000,0
1749427098.275,452602.000,287429.000,2475.000,0
1749427098.291,452427.000,287378.000,2489.000,0
1749427098.306,452361.000,287398.000,2474.000,0
1749427098.322,452348.000,287435.000,2456.000,0
1749427098.338,452299.000,287401.000,2476.000,0
1749427098.353,452331.000,287441.000,2473.000,0
1749427098.369,452270.000,287481.000,2419.000,0
1749427098.385,452380.000,287509.000,2473.000,0
1749427098.400,452587.000,287584.000,2475.000,0
1749427098.416,452673.000,287651.000,2394.000,0
1749427098.431,452652.000,287651.000,2426.000,0
1749427098.447,452671.000,287726.000,2469.000,0
1749427098.463,452698.000,287825.000,2450.000,0
1749427098.478,452695.000,287809.000,2476.000,0
1749427098.494,452623.000,287770.000,2492.000,0
1749427098.510,452612.000,287773.000,2478.000,0
1749427098.525,452538.000,287781.000,2438.000,0
1749427098.541,452489.000,287760.000,2527.000,0
1749427098.556,452444.000,287753.000,2475.000,0
1749427098.572,452410.000,287767.000,2541.000,0
1749427098.588,452365.000,287750.000,2455.000,0
1749427098.603,452428.000,287734.000,2454.000,0
1749427098.619,452559.000,287783.000,2478.000,0
1749427098.635,452507.000,287804.000,2477.000,0
1749427098.650,452554.000,287798.000,2441.000,0
1749427098.666,452678.000,287836.000,2479.000,0
1749427098.681,452649.000,287876.000,2443.000,0
1749427098.697,452691.000,287889.000,2401.000,0
1749427098.713,452750.000,287892.000,2497.000,0
1749427098.728,452757.000,287951.000,2478.000,0
1749427098.744,452738.000,287962.000,2497.000,0
1749427098.760,452758.000,287963.000,2475.000,0
1749427098.775,452778.000,287985.000,2550.000,0
1749427098.791,452762.000,287999.000,2477.000,0
1749427098.806,452799.000,288011.000,2476.000,0
1749427098.822,452826.000,288083.000,2552.000,0
1749427098.838,452722.000,288098.000,2478.000,0
1749427098.853,452816.000,288105.000,2440.000,0
1749427098.869,452880.000,288119.000,2471.000,0
1749427098.885,452982.000,288154.000,2489.000,0
1749427098.900,452926.000,288131.000,2477.000,0
1749427098.916,452963.000,288220.000,2496.000,0
1749427098.931,452835.000,288165.000,2477.000,0
1749427098.947,452834.000,288055.000,2485.000,0
1749427098.963,452789.000,287949.000,2477.000,0
1749427098.978,452642.000,287851.000,2489.000,0
1749427098.994,452583.000,287741.000,2474.000,0
1749427099.010,452461.000,287732.000,2477.000,0
1749427099.025,452381.000,287733.000,2570.000,0
1749427099.041,452405.000,287671.000,2453.000,0
1749427099.056,452391.000,287710.000,2509.000,0
1749427099.072,452243.000,287692.000,2499.000,0
1749427099.088,452241.000,287680.000,2468.000,0
1749427099.103,452267.000,287755.000,2430.000,0
1749427099.119,452135.000,287747.000,2479.000,0
1749427099.135,452222.000,287729.000,2473.000,0
1749427099.150,452295.000,287762.000,2401.000,0
1749427099.166,452348.000,287775.000,2476.000,0
1749427099.181,452255.000,287753.000,2441.000,0
1749427099.197,452349.000,287782.000,2506.000,0
1749427099.213,452212.000,287815.000,2477.000,0
1749427099.228,452205.000,287803.000,2467.000,0
1749427099.244,452272.000,287763.000,2476.000,0
1749427099.260,452228.000,287821.000,2516.000,0
1749427099.275,452254.000,287772.000,2477.000,0
1749427099.291,452296.000,287838.000,2479.000,0
1749427099.306,452277.000,287878.000,2537.000,0
1749427099.322,452178.000,287830.000,2478.000,0
1749427099.338,452255.000,287923.000,2479.000,0
1749427099.353,452167.000,287938.000,2431.000,0
1749427099.369,452234.000,287947.000,2468.000,0
1749427099.385,452211.000,288049.000,2415.000,0
1749427099.400,452285.000,288062.000,2484.000,0
1749427099.416,452334.000,288078.000,2454.000,0
1749427099.431,452386.000,288091.000,2386.000,0
1749427099.447,452383.000,288151.000,2478.000,0
1749427099.463,452505.000,288172.000,2499.000,0
1749427099.478,452538.000,288195.000,2486.000,0
1749427099.494,452516.000,288210.000,2464.000,0
1749427099.510,452543.000,288235.000,2570.000,0
1749427099.525,452541.000,288279.000,2478.000,0
1749427099.541,452620.000,288320.000,2476.000,0
1749427099.556,452606.000,288324.000,2480.000,0
1749427099.572,452527.000,288388.000,2477.000,0
1749427099.588,452675.000,288436.000,2447.000,0
1749427099.603,452552.000,288431.000,2480.000,0
1749427099.619,452700.000,288463.000,2493.000,0
1749427099.635,452659.000,288510.000,2461.000,0
1749427099.650,452808.000,288529.000,2500.000,0
1749427099.666,452814.000,288567.000,2476.000,0
1749427099.681,452806.000,288530.000,2388.000,0
1749427099.697,452747.000,288434.000,2514.000,0
1749427099.713,452665.000,288438.000,2510.000,0
1749427099.728,452615.000,288303.000,2478.000,0
1749427099.744,452556.000,288195.000,2490.000,0
1749427099.760,452392.000,288099.000,2571.000,0
1749427099.775,452286.000,288058.000,2457.000,0
1749427099.791,452341.000,288045.000,2525.000,0
1749427099.806,452213.000,288091.000,2477.000,0
1749427099.822,452239.000,288053.000,2481.000,0
1749427099.838,452261.000,288005.000,2481.000,0
1749427099.853,452127.000,288070.000,2476.000,0
1749427099.869,452241.000,288081.000,2452.000,0
1749427099.885,452293.000,288062.000,2486.000,0
1749427099.900,452219.000,288068.000,2438.000,0
1749427099.916,452209.000,288097.000,2403.000,0
1749427099.931,452273.000,288108.000,2478.000,0
1749427099.947,452248.000,288126.000,2482.000,0
