timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1749426393.683,-87.891,-52.246,-55.664,-1.953,0.000,0
1749426393.687,-94.238,-57.129,-54.688,35.645,0.000,0
1749426393.691,-87.402,-58.105,-55.664,40.039,0.000,0
1749426393.694,-84.473,-55.664,-54.199,43.945,0.000,0
1749426393.698,-104.492,-60.059,-59.082,50.293,0.000,0
1749426393.702,-116.699,-66.895,-62.988,34.180,0.000,0
1749426393.706,-109.863,-62.012,-60.059,36.621,0.000,0
1749426393.710,-104.980,-60.059,-61.035,37.109,0.000,0
1749426393.714,-112.305,-63.965,-60.547,27.832,0.000,0
1749426393.717,-119.141,-67.871,-64.453,15.137,0.000,0
1749426393.721,-119.629,-65.918,-70.801,-1.953,0.000,0
1749426393.725,-118.164,-60.059,-65.918,7.812,0.000,0
1749426393.730,-116.211,-62.988,-63.477,-5.859,0.000,0
1749426393.734,-115.234,-69.336,-64.941,-17.578,0.000,0
1749426393.738,-114.746,-75.195,-63.477,-21.484,0.000,0
1749426393.741,-112.305,-75.195,-60.059,-33.691,0.000,0
1749426393.745,-113.281,-71.289,-59.082,-36.133,0.000,0
1749426393.749,-115.723,-70.801,-60.059,-52.734,0.000,0
1749426393.753,-111.328,-74.707,-59.082,-69.336,0.000,0
1749426393.757,-105.469,-75.195,-62.500,-67.383,0.000,0
1749426393.761,-99.121,-65.430,-62.500,-71.777,0.000,0
1749426393.764,-98.145,-62.500,-57.129,-76.660,0.000,0
1749426393.768,-92.773,-65.918,-57.129,-72.266,0.000,0
1749426393.772,-72.266,-62.012,-56.152,-63.477,0.000,0
1749426393.777,-60.059,-51.758,-53.223,-51.758,0.000,0
1749426393.781,-58.105,-48.340,-55.176,-45.410,0.000,0
1749426393.785,-45.898,-44.922,-58.105,-38.086,0.000,0
1749426393.788,-26.855,-39.551,-59.570,-34.668,0.000,0
1749426393.792,-10.742,-32.715,-52.246,-28.320,0.000,0
1749426393.796,-8.301,-26.367,-43.457,-12.207,0.000,0
1749426393.800,-13.184,-27.832,-41.016,-7.324,0.000,0
1749426393.804,-12.695,-29.297,-41.992,-12.207,0.000,0
1749426393.808,-12.207,-28.809,-41.992,-11.719,0.000,0
1749426393.811,-7.812,-26.855,-33.203,-9.277,0.000,0
1749426393.815,-12.695,-20.020,-31.738,-8.789,0.000,0
