timestamps,X,Y,Z,Marker0
1749791209.193,0.183,0.001,0.971,0
1749791209.251,0.179,-0.006,0.967,0
1749791209.251,0.183,-0.009,0.959,0
1749791209.251,0.181,-0.011,0.965,0
1749791209.309,0.176,-0.008,0.980,0
1749791209.309,0.161,0.001,1.026,0
1749791209.309,0.165,0.005,0.968,0
1749791209.355,0.171,-0.007,0.942,0
1749791209.355,0.181,-0.002,0.944,0
1749791209.355,0.179,-0.002,0.933,0
1749791209.415,0.189,-0.027,0.946,0
1749791209.415,0.196,-0.020,0.970,0
1749791209.415,0.201,-0.006,0.983,0
1749791209.476,0.205,-0.003,0.986,0
1749791209.476,0.207,0.005,0.991,0
1749791209.476,0.200,0.010,0.990,0
1749791209.527,0.189,0.014,1.002,0
1749791209.527,0.181,0.022,0.992,0
1749791209.527,0.178,0.016,0.971,0
1749791209.582,0.179,0.002,0.957,0
1749791209.582,0.177,-0.015,0.969,0
1749791209.582,0.164,-0.019,0.979,0
1749791209.641,0.161,-0.028,0.977,0
1749791209.641,0.152,-0.025,0.960,0
1749791209.641,0.152,-0.010,0.947,0
1749791209.700,0.158,0.003,0.938,0
1749791209.700,0.167,0.015,0.942,0
1749791209.700,0.177,0.018,0.958,0
1749791209.745,0.161,0.014,1.018,0
1749791209.745,0.171,0.002,0.969,0
1749791209.745,0.179,0.001,0.941,0
1749791209.811,0.181,-0.005,0.948,0
1749791209.811,0.190,-0.018,0.939,0
1749791209.811,0.206,-0.037,0.957,0
1749791209.865,0.209,-0.037,0.987,0
1749791209.865,0.215,-0.014,1.000,0
1749791209.865,0.219,0.001,0.989,0
1749791209.926,0.216,0.019,0.984,0
1749791209.926,0.214,0.027,0.972,0
1749791209.926,0.205,0.031,0.992,0
1749791209.970,0.194,0.026,0.995,0
1749791209.970,0.190,0.008,0.983,0
1749791209.970,0.179,-0.010,0.970,0
1749791210.035,0.179,-0.030,0.968,0
1749791210.035,0.168,-0.043,0.976,0
1749791210.035,0.164,-0.047,0.970,0
1749791210.097,0.157,-0.038,0.960,0
1749791210.097,0.157,-0.020,0.942,0
1749791210.097,0.166,0.004,0.939,0
1749791210.152,0.175,0.014,0.937,0
1749791210.152,0.181,0.010,0.960,0
1749791210.152,0.163,0.008,1.018,0
1749791210.195,0.168,-0.000,0.975,0
1749791210.195,0.168,-0.006,0.960,0
1749791210.195,0.173,0.004,0.939,0
1749791210.255,0.185,0.002,0.923,0
1749791210.255,0.190,-0.018,0.946,0
1749791210.255,0.200,-0.025,0.968,0
1749791210.315,0.208,-0.019,0.984,0
1749791210.315,0.216,-0.012,0.987,0
1749791210.315,0.223,-0.007,0.987,0
1749791210.375,0.224,-0.003,0.988,0
1749791210.375,0.211,0.007,1.003,0
1749791210.375,0.201,0.028,0.997,0
1749791210.436,0.198,0.028,0.971,0
1749791210.436,0.197,0.010,0.960,0
1749791210.436,0.189,-0.010,0.974,0
1749791210.482,0.178,-0.025,0.986,0
1749791210.482,0.163,-0.026,0.983,0
1749791210.482,0.158,-0.024,0.965,0
