timestamps,X,Y,Z,Marker0
1749788592.967,-3.671,1.914,-3.798,0
1749788592.967,-3.671,1.914,-3.798,0
1749788592.967,-3.768,2.079,-4.000,0
1749788592.967,-2.983,1.989,-3.806,0
1749788593.027,-2.684,1.555,-3.761,0
1749788593.027,-2.759,1.107,-3.813,0
1749788593.027,-3.230,0.576,-3.394,0
1749788593.078,-3.260,0.658,-3.058,0
1749788593.078,-3.394,1.054,-2.609,0
1749788593.078,-3.305,1.570,-2.751,0
1749788593.132,-3.073,1.548,-3.350,0
1749788593.132,-2.901,1.690,-3.611,0
1749788593.132,-2.512,1.735,-3.320,0
1749788593.192,-2.789,1.548,-3.761,0
1749788593.192,-3.208,1.391,-4.000,0
1749788593.192,-3.559,1.436,-3.312,0
1749788593.252,-2.968,1.495,-3.148,0
1749788593.252,-3.477,1.735,-2.879,0
1749788593.252,-3.215,1.966,-3.163,0
1749788593.313,-3.170,2.019,-3.365,0
1749788593.313,-3.103,1.712,-3.230,0
1749788593.313,-3.028,1.735,-3.447,0
1749788593.363,-3.312,1.817,-3.574,0
1749788593.363,-3.148,1.578,-3.895,0
1749788593.363,-3.013,1.136,-3.836,0
1749788593.418,-3.200,1.047,-3.723,0
1749788593.418,-3.065,1.166,-3.708,0
1749788593.418,-3.215,1.099,-3.350,0
1749788593.477,-3.170,1.652,-3.133,0
1749788593.477,-2.953,2.131,-3.140,0
1749788593.477,-2.968,1.892,-3.290,0
1749788593.537,-2.565,1.966,-3.065,0
1749788593.537,-2.647,1.959,-3.043,0
1749788593.537,-2.310,2.146,-3.058,0
1749788593.582,-2.594,1.809,-3.282,0
1749788593.582,-2.594,1.660,-3.604,0
1749788593.582,-2.699,1.323,-3.686,0
1749788593.648,-2.916,1.361,-3.888,0
1749788593.648,-3.252,1.122,-4.322,0
1749788593.648,-3.866,1.181,-3.963,0
1749788593.702,-3.925,1.593,-4.292,0
1749788593.702,-3.776,1.503,-4.202,0
1749788593.702,-3.013,1.570,-4.000,0
1749788593.762,-2.894,1.436,-3.753,0
1749788593.762,-2.766,1.069,-3.634,0
1749788593.762,-3.200,1.391,-3.148,0
1749788593.808,-3.551,1.450,-3.140,0
1749788593.808,-3.477,1.630,-3.514,0
1749788593.808,-3.537,1.899,-3.551,0
1749788593.868,-2.871,1.436,-4.045,0
1749788593.868,-2.796,1.510,-4.224,0
1749788593.868,-2.692,1.293,-4.120,0
1749788593.932,-3.305,1.129,-4.060,0
1749788593.932,-3.604,0.957,-3.910,0
1749788593.932,-3.492,0.950,-3.439,0
1749788593.975,-3.095,1.047,-3.125,0
1749788593.975,-2.841,1.204,-2.908,0
1749788593.975,-2.894,1.465,-3.088,0
1749788594.032,-2.781,1.346,-3.297,0
1749788594.032,-3.125,1.436,-3.208,0
1749788594.032,-3.320,1.593,-3.432,0
1749788594.092,-3.155,1.421,-3.686,0
1749788594.092,-3.275,1.712,-3.806,0
1749788594.092,-3.252,1.824,-3.544,0
1749788594.153,-3.297,1.787,-3.327,0
1749788594.153,-3.170,1.951,-3.387,0
1749788594.153,-3.051,1.847,-3.604,0
1749788594.204,-2.766,1.862,-3.484,0
1749788594.204,-2.819,1.488,-3.237,0
1749788594.204,-2.871,1.824,-3.574,0
1749788594.257,-3.133,1.981,-3.716,0
1749788594.257,-3.522,1.802,-3.499,0
1749788594.257,-3.305,1.578,-3.806,0
1749788594.317,-3.357,1.832,-3.910,0
1749788594.317,-3.387,1.809,-3.910,0
1749788594.317,-3.193,1.839,-3.843,0
1749788594.378,-3.380,1.832,-4.000,0
1749788594.378,-2.931,1.323,-3.671,0
1749788594.378,-3.103,1.436,-3.409,0
1749788594.437,-3.409,1.899,-3.110,0
1749788594.437,-3.664,2.146,-3.320,0
1749788594.437,-4.127,2.146,-4.202,0
1749788594.487,-3.581,1.705,-4.972,0
1749788594.487,-2.946,1.555,-4.523,0
1749788594.487,-2.243,1.518,-4.157,0
1749788594.542,-2.303,1.293,-3.895,0
1749788594.542,-2.804,1.338,-3.200,0
1749788594.542,-3.469,1.032,-2.886,0
1749788594.603,-3.365,1.196,-2.669,0
1749788594.603,-3.185,0.867,-2.520,0
1749788594.603,-3.013,0.531,-3.051,0
1749788594.663,-2.916,0.733,-3.880,0
1749788594.663,-2.669,0.591,-4.000,0
1749788594.663,-2.602,0.718,-4.127,0
1749788594.708,-2.991,0.643,-4.471,0
1749788594.708,-3.350,1.047,-4.060,0
1749788594.708,-2.744,0.837,-3.499,0
1749788594.784,-2.923,1.077,-2.998,0
1749788594.784,-2.953,1.308,-3.387,0
1749788594.784,-2.901,1.705,-3.537,0
1749788594.827,-3.477,1.563,-3.559,0
1749788594.827,-3.148,0.000,-3.589,0
1749788594.827,-3.342,1.974,-3.761,0
1749788594.887,-3.499,1.540,-4.344,0
1749788594.887,-3.402,0.994,-4.920,0
1749788594.887,-3.507,1.398,-4.658,0
1749788594.932,-3.282,1.353,-4.112,0
1749788594.932,-2.976,1.092,-3.305,0
1749788594.932,-2.849,1.525,-2.871,0
1749788594.993,-2.864,1.944,-2.744,0
1749788594.993,-2.886,2.191,-3.365,0
1749788594.993,-2.991,2.056,-3.723,0
1749788595.057,-3.140,2.019,-3.753,0
1749788595.057,-3.013,1.637,-4.075,0
1749788595.057,-2.901,1.533,-3.940,0
1749788595.100,-3.088,1.630,-4.023,0
1749788595.100,-3.155,1.540,-3.649,0
1749788595.100,-3.223,0.927,-3.439,0
1749788595.156,-3.103,0.807,-3.350,0
1749788595.156,-2.542,1.077,-3.537,0
1749788595.156,-2.751,1.144,-3.409,0
1749788595.218,-2.923,1.047,-3.200,0
1749788595.218,-2.707,0.950,-3.409,0
1749788595.218,-3.118,1.024,-3.828,0
1749788595.277,-3.327,1.660,-3.798,0
1749788595.277,-3.978,2.131,-4.082,0
1749788595.277,-3.723,2.168,-4.501,0
1749788595.327,-2.923,1.667,-4.322,0
1749788595.327,-2.826,1.249,-4.105,0
1749788595.327,-2.751,0.927,-3.963,0
1749788595.383,-2.707,0.561,-3.454,0
1749788595.383,-2.871,0.965,-3.118,0
1749788595.383,-3.462,1.211,-3.365,0
1749788595.443,-3.155,1.495,-3.694,0
1749788595.443,-3.327,1.077,-3.731,0
1749788595.443,-2.804,0.561,-3.873,0
1749788595.502,-2.579,0.389,-3.731,0
1749788595.502,-2.378,0.553,-3.746,0
1749788595.502,-2.834,1.211,-3.365,0
1749788595.547,-3.245,1.293,-3.320,0
1749788595.547,-2.953,1.458,-3.215,0
1749788595.547,-3.148,1.323,-3.133,0
1749788595.614,-3.021,1.570,-3.753,0
1749788595.614,-3.237,1.436,-3.821,0
1749788595.614,-3.170,1.824,-3.529,0
1749788595.667,-3.193,1.750,-3.566,0
1749788595.667,-3.312,1.682,-3.447,0
1749788595.667,-3.372,1.802,-3.604,0
1749788595.727,-3.387,1.525,-3.783,0
1749788595.727,-3.215,1.473,-3.402,0
1749788595.727,-3.140,1.727,-3.267,0
1749788595.772,-3.297,1.712,-3.193,0
1749788595.772,-3.028,1.301,-3.387,0
1749788595.772,-3.058,1.518,-3.566,0
1749788595.832,-3.237,1.652,-3.439,0
1749788595.832,-3.073,1.750,-3.297,0
1749788595.832,-2.744,1.839,-3.514,0
1749788595.899,-3.028,1.922,-3.596,0
1749788595.899,-2.931,1.832,-3.424,0
1749788595.899,-2.826,1.264,-3.529,0
1749788595.952,-2.946,1.129,-3.761,0
1749788595.952,-2.535,1.234,-3.402,0
1749788595.952,-2.557,1.570,-3.237,0
1749788595.997,-2.946,1.376,-3.155,0
1749788595.997,-3.380,1.809,-3.649,0
1749788595.997,-4.060,1.839,-3.746,0
1749788596.057,-3.230,1.682,-3.783,0
1749788596.057,-2.804,1.593,-3.806,0
1749788596.057,-2.475,1.660,-3.551,0
1749788596.117,-2.692,1.301,-3.365,0
1749788596.117,-3.208,1.092,-3.305,0
1749788596.117,-3.223,1.054,-3.200,0
1749788596.180,-3.073,1.159,-3.051,0
1749788596.180,-3.163,1.518,-2.946,0
1749788596.180,-2.938,1.525,-3.768,0
1749788596.224,-2.572,1.630,-4.322,0
1749788596.224,-2.617,1.480,-4.075,0
1749788596.224,-2.751,1.017,-4.015,0
1749788596.282,-3.013,0.800,-4.030,0
