timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1749790804.424,0.000,-28.809,-33.203,-17.090,0.000,0
1749790804.428,0.000,-25.879,-36.621,-16.113,0.000,0
1749790804.432,0.000,-28.809,-38.086,-10.254,0.000,0
1749790804.435,0.000,-30.762,-37.598,-13.672,0.000,0
1749790804.439,0.000,-32.715,-37.598,-19.531,0.000,0
1749790804.443,0.000,-27.344,-37.598,-20.020,0.000,0
1749790804.447,0.000,-25.391,-40.039,-16.113,0.000,0
1749790804.451,0.000,-30.273,-44.434,-14.648,0.000,0
1749790804.455,0.000,-32.227,-42.480,-15.625,0.000,0
1749790804.458,0.000,-32.227,-30.273,-8.789,0.000,0
1749790804.462,0.000,-31.250,-26.855,-7.812,0.000,0
1749790804.466,0.000,-30.273,-31.738,-9.277,0.000,0
1749790804.471,-12.207,-32.227,-32.227,-10.742,0.000,0
1749790804.475,-6.348,-32.227,-27.832,-12.207,0.000,0
1749790804.478,-2.441,-33.203,-24.902,-7.812,0.000,0
1749790804.482,-11.230,-35.156,-24.902,-13.184,0.000,0
1749790804.486,-4.395,-28.809,-20.508,-10.742,0.000,0
1749790804.490,-13.672,-28.809,-16.602,-5.371,0.000,0
1749790804.494,-26.367,-28.809,-16.113,-9.277,0.000,0
1749790804.498,-22.461,-26.367,-16.602,-6.348,0.000,0
1749790804.502,-28.320,-37.598,-30.273,-16.602,0.000,0
1749790804.505,-23.438,-42.480,-38.574,-20.996,0.000,0
1749790804.509,-15.137,-36.133,-35.645,-14.160,0.000,0
1749790804.513,-16.602,-34.668,-32.715,-12.695,0.000,0
1749790804.518,-21.484,-32.227,-32.227,-9.766,0.000,0
1749790804.522,-27.344,-31.250,-26.855,-6.348,0.000,0
1749790804.525,-26.855,-25.391,-24.902,-12.207,0.000,0
1749790804.529,-18.555,-24.414,-27.344,-21.484,0.000,0
1749790804.533,-23.926,-27.344,-30.273,-21.973,0.000,0
1749790804.537,-23.438,-21.973,-32.227,-22.949,0.000,0
1749790804.541,-13.184,-22.949,-33.203,-18.066,0.000,0
1749790804.545,-21.484,-27.344,-34.180,-13.184,0.000,0
1749790804.548,-16.113,-26.367,-33.691,-11.230,0.000,0
1749790804.552,-12.207,-28.320,-26.855,-14.160,0.000,0
1749790804.556,-14.160,-30.762,-28.320,-20.508,0.000,0
1749790804.560,-6.836,-30.762,-32.715,-12.695,0.000,0
1749790804.565,-8.301,-27.832,-31.738,-16.602,0.000,0
1749790804.568,-18.066,-26.855,-31.250,-24.902,0.000,0
1749790804.572,-16.113,-23.926,-29.297,-11.719,0.000,0
1749790804.576,-13.672,-26.367,-31.738,-12.207,0.000,0
1749790804.580,-10.742,-30.273,-34.668,-19.043,0.000,0
1749790804.584,-1.465,-23.926,-28.320,-15.625,0.000,0
1749790804.588,-4.883,-25.391,-29.785,-13.672,0.000,0
1749790804.592,-14.160,-31.738,-35.645,-18.555,0.000,0
1749790804.595,-16.602,-36.621,-37.598,-24.902,0.000,0
1749790804.599,-9.277,-41.016,-37.598,-26.855,0.000,0
1749790804.603,-22.949,-39.062,-35.645,-26.367,0.000,0
1749790804.607,-28.320,-39.062,-41.016,-27.832,0.000,0
1749790804.611,-12.207,-34.180,-38.574,-25.391,0.000,0
1749790804.615,-13.184,-32.715,-32.227,-19.531,0.000,0
1749790804.619,-11.719,-31.250,-33.691,-13.672,0.000,0
1749790804.623,-16.113,-26.855,-35.156,-16.602,0.000,0
1749790804.627,-21.484,-28.320,-36.133,-17.090,0.000,0
1749790804.631,-22.461,-29.785,-37.598,-18.555,0.000,0
1749790804.635,-26.855,-31.250,-39.062,-32.715,0.000,0
1749790804.638,-20.020,-33.691,-37.109,-30.762,0.000,0
1749790804.642,-21.973,-34.180,-35.645,-20.996,0.000,0
1749790804.646,-22.461,-31.250,-35.645,-19.531,0.000,0
1749790804.650,-19.531,-33.691,-38.574,-18.555,0.000,0
1749790804.654,-26.855,-32.227,-35.645,-22.461,0.000,0
1749790804.658,-24.414,-28.320,-32.227,-22.949,0.000,0
1749790804.662,-23.438,-35.645,-29.297,-13.184,0.000,0
1749790804.666,-25.391,-31.250,-31.250,-7.812,0.000,0
1749790804.670,-28.809,-24.414,-36.621,-21.973,0.000,0
1749790804.674,-28.320,-24.902,-41.016,-34.180,0.000,0
1749790804.677,-22.949,-20.508,-43.945,-31.250,0.000,0
1749790804.681,-24.414,-20.020,-39.551,-28.320,0.000,0
1749790804.685,-21.973,-19.531,-36.133,-29.297,0.000,0
1749790804.689,-26.367,-15.137,-41.016,-37.109,0.000,0
1749790804.693,-30.273,-9.277,-48.828,-38.574,0.000,0
1749790804.697,-27.832,-9.766,-49.316,-35.645,0.000,0
1749790804.701,-20.996,-7.812,-44.434,-29.785,0.000,0
1749790804.705,-18.555,-13.672,-41.016,-27.344,0.000,0
1749790804.709,-25.391,-24.902,-38.086,-31.250,0.000,0
1749790804.713,-27.344,-25.391,-38.574,-30.762,0.000,0
1749790804.717,-21.484,-23.926,-41.016,-30.762,0.000,0
1749790804.720,-18.066,-24.414,-41.016,-30.273,0.000,0
1749790804.724,-28.809,-25.879,-39.062,-32.227,0.000,0
1749790804.728,-22.461,-26.855,-38.086,-34.180,0.000,0
1749790804.732,-18.066,-27.832,-39.551,-33.691,0.000,0
1749790804.736,-22.461,-25.879,-36.621,-25.391,0.000,0
1749790804.740,-13.672,-19.043,-36.621,-20.020,0.000,0
1749790804.743,-12.695,-23.926,-41.992,-27.344,0.000,0
1749790804.747,-19.531,-30.762,-38.574,-30.273,0.000,0
1749790804.752,0.000,-30.762,-34.180,-29.785,0.000,0
1749790804.756,0.000,-33.691,-33.691,-29.785,0.000,0
1749790804.760,0.000,-33.203,-34.668,-31.250,0.000,0
1749790804.764,0.000,-33.203,-38.574,-34.668,0.000,0
1749790804.767,0.000,-29.297,-35.156,-28.320,0.000,0
1749790804.771,0.000,-25.879,-33.691,-25.879,0.000,0
1749790804.775,0.000,-25.391,-37.598,-29.297,0.000,0
1749790804.779,0.000,-24.902,-38.086,-29.785,0.000,0
1749790804.783,0.000,-23.438,-36.133,-25.879,0.000,0
1749790804.787,0.000,-24.902,-32.227,-22.949,0.000,0
1749790804.791,0.000,-25.391,-32.227,-27.344,0.000,0
1749790804.794,0.000,-25.879,-36.133,-25.879,0.000,0
1749790804.799,-26.367,-26.855,-37.598,-26.855,0.000,0
1749790804.803,-24.414,-26.855,-33.691,-25.879,0.000,0
1749790804.807,-22.461,-29.785,-33.203,-21.484,0.000,0
1749790804.811,-18.066,-29.297,-34.668,-21.484,0.000,0
1749790804.814,-18.555,-35.156,-32.715,-21.484,0.000,0
1749790804.818,-27.832,-36.133,-33.691,-22.461,0.000,0
1749790804.822,-26.855,-36.133,-35.645,-21.484,0.000,0
1749790804.826,-24.414,-36.133,-38.086,-22.461,0.000,0
1749790804.830,-25.391,-30.273,-40.039,-26.855,0.000,0
1749790804.834,-18.555,-32.227,-34.668,-29.785,0.000,0
1749790804.838,-17.578,-30.762,-31.738,-28.809,0.000,0
1749790804.841,-26.367,-26.855,-32.715,-29.785,0.000,0
1749790804.846,-22.461,-30.273,-28.320,-23.438,0.000,0
1749790804.850,-20.996,-30.273,-26.367,-20.508,0.000,0
1749790804.854,-20.020,-29.785,-30.762,-17.090,0.000,0
1749790804.858,-22.461,-28.809,-29.297,-19.043,0.000,0
1749790804.861,-29.297,-28.809,-29.785,-31.738,0.000,0
1749790804.865,-28.320,-31.738,-35.156,-32.715,0.000,0
1749790804.869,-31.250,-33.691,-33.203,-39.062,0.000,0
1749790804.873,-26.855,-31.250,-30.762,-30.762,0.000,0
1749790804.877,-25.391,-31.250,-31.738,-26.367,0.000,0
1749790804.881,-32.227,-25.391,-35.645,-43.457,0.000,0
1749790804.885,-27.344,-22.461,-34.668,-35.156,0.000,0
1749790804.888,-20.508,-27.344,-27.344,-19.531,0.000,0
1749790804.893,0.000,-30.273,-31.738,-21.484,0.000,0
1749790804.897,0.000,-32.227,-39.062,-22.949,0.000,0
1749790804.901,0.000,-28.320,-38.574,-12.207,0.000,0
1749790804.904,0.000,-27.832,-35.645,-1.953,0.000,0
1749790804.908,0.000,-27.832,-39.062,0.488,0.000,0
1749790804.912,0.000,-30.273,-40.039,2.930,0.000,0
1749790804.916,0.000,-33.203,-34.180,9.766,0.000,0
1749790804.920,0.000,-32.227,-36.133,14.648,0.000,0
1749790804.924,0.000,-29.785,-40.039,12.695,0.000,0
1749790804.928,0.000,-29.297,-37.598,12.695,0.000,0
1749790804.931,0.000,-33.691,-36.133,12.695,0.000,0
1749790804.935,0.000,-29.297,-38.086,11.230,0.000,0
1749790804.940,8.301,-21.973,-36.621,5.859,0.000,0
1749790804.944,2.930,-23.438,-35.645,-1.953,0.000,0
1749790804.948,6.348,-23.926,-36.133,-5.371,0.000,0
1749790804.951,12.207,-23.438,-36.133,-8.301,0.000,0
1749790804.955,11.230,-22.461,-39.062,-7.812,0.000,0
1749790804.959,5.859,-21.484,-37.598,-3.906,0.000,0
1749790804.963,4.395,-23.926,-34.180,0.000,0.000,0
1749790804.967,14.160,-23.438,-33.691,1.465,0.000,0
1749790804.971,20.020,-21.484,-34.668,-0.488,0.000,0
1749790804.974,0.000,-22.461,-36.621,-3.906,0.000,0
1749790804.978,-4.395,-24.414,-39.551,-2.930,0.000,0
1749790804.982,8.789,-21.973,-38.086,-2.930,0.000,0
1749790804.987,8.301,-20.508,-36.621,-6.348,0.000,0
1749790804.990,14.160,-19.531,-32.227,-4.395,0.000,0
1749790804.994,2.441,-22.949,-35.156,-6.348,0.000,0
1749790804.998,-13.672,-28.809,-43.945,-13.672,0.000,0
1749790805.002,-5.371,-27.344,-41.016,-9.766,0.000,0
1749790805.006,-12.695,-26.855,-37.598,-11.230,0.000,0
1749790805.010,-7.812,-27.344,-32.227,-12.207,0.000,0
1749790805.014,3.906,-32.227,-34.180,-9.277,0.000,0
1749790805.017,-4.395,-34.180,-40.527,-13.184,0.000,0
1749790805.021,-10.742,-30.273,-37.598,-16.602,0.000,0
1749790805.025,-9.766,-26.367,-33.203,-21.484,0.000,0
1749790805.029,-4.883,-27.832,-33.691,-21.973,0.000,0
1749790805.033,-5.371,-30.273,-34.668,-10.742,0.000,0
1749790805.037,-5.859,-25.391,-36.621,-11.230,0.000,0
1749790805.041,-5.371,-28.320,-34.668,-17.090,0.000,0
1749790805.045,-10.254,-27.344,-33.203,-15.625,0.000,0
1749790805.049,-6.348,-21.484,-35.645,-22.461,0.000,0
1749790805.053,-4.883,-22.949,-33.691,-25.879,0.000,0
